t_s,vdc_v,idc_a,i_gen_a,i_load_a,i_fault_a,v_pos_gnd_v,v_neg_gnd_v
0.42175,1506.23674709019,2179.99838998499,2419.81584374377,2179.99838998499,0,753.118373545095,-753.118373545095
0.4218,1506.23658753456,2179.99839283264,2419.81028908238,2179.99839283264,0,753.118293767281,-753.118293767281
0.42185,1506.23642798335,2179.99839567555,2419.80473456848,2179.99839567555,0,753.118213991677,-753.118213991677
0.4219,1506.23626843657,2179.99839851373,2419.79918020208,2179.99839851373,0,753.118134218283,-753.118134218283
0.42195,1506.23610889419,2179.99840134718,2419.79362598316,2179.99840134718,0,753.118054447097,-753.118054447097
0.422,1506.23594935624,2179.99840417591,2419.78807191174,2179.99840417591,0,753.117974678121,-753.117974678121
0.42205,1506.23578982271,2179.99840699993,2419.7825179878,2179.99840699993,0,753.117894911354,-753.117894911354
0.4221,1506.23563029359,2179.99840981924,2419.77696421134,2179.99840981924,0,753.117815146796,-753.117815146796
0.42215,1506.23547076889,2179.99841263386,2419.77141058235,2179.99841263386,0,753.117735384446,-753.117735384446
0.4222,1506.23531124861,2179.9984154438,2419.76585710085,2179.9984154438,0,753.117655624305,-753.117655624305
0.42225,1506.23515173274,2179.99841824905,2419.76030376681,2179.99841824905,0,753.117575866371,-753.117575866371
0.4223,1506.23499222129,2179.99842104964,2419.75475058024,2179.99842104964,0,753.117496110646,-753.117496110646
0.42235,1506.23483271426,2179.99842384556,2419.74919754114,2179.99842384556,0,753.117416357129,-753.117416357129
0.4224,1506.23467321164,2179.99842663682,2419.74364464949,2179.99842663682,0,753.117336605819,-753.117336605819
0.42245,1506.23451371343,2179.99842942344,2419.73809190531,2179.99842942344,0,753.117256856716,-753.117256856716
0.4225,1506.23435421964,2179.99843220541,2419.73253930858,2179.99843220541,0,753.117177109821,-753.117177109821
0.42255,1506.23419473027,2179.99843498276,2419.72698685931,2179.99843498276,0,753.117097365133,-753.117097365133
0.4226,1506.2340352453,2179.99843775547,2419.72143455748,2179.99843775547,0,753.117017622651,-753.117017622651
0.42265,1506.23387576475,2179.99844052357,2419.7158824031,2179.99844052357,0,753.116937882376,-753.116937882376
0.4227,1506.23371628862,2179.99844328706,2419.71033039616,2179.99844328706,0,753.116858144308,-753.116858144308
0.42275,1506.23355681689,2179.99844604595,2419.70477853666,2179.99844604595,0,753.116778408445,-753.116778408445
0.4228,1506.23339734958,2179.99844880025,2419.6992268246,2179.99844880025,0,753.116698674789,-753.116698674789
0.42285,1506.23323788668,2179.99845154996,2419.69367525997,2179.99845154996,0,753.116618943339,-753.116618943339
0.4229,1506.23307842819,2179.99845429508,2419.68812384277,2179.99845429508,0,753.116539214094,-753.116539214094
0.42295,1506.23291897411,2179.99845703564,2419.68257257299,2179.99845703564,0,753.116459487054,-753.116459487054
0.423,1506.23275952444,2179.99845977163,2419.67702145064,2179.99845977163,0,753.11637976222,-753.11637976222
0.42305,1506.23260007918,2179.99846250307,2419.67147047571,2179.99846250307,0,753.116300039591,-753.116300039591
0.4231,1506.23244063833,2179.99846522996,2419.6659196482,2179.99846522996,0,753.116220319166,-753.116220319166
0.42315,1506.23228120189,2179.99846795231,2419.6603689681,2179.99846795231,0,753.116140600947,-753.116140600947
0.4232,1506.23212176986,2179.99847067012,2419.65481843541,2179.99847067012,0,753.116060884931,-753.116060884931
0.42325,1506.23196234224,2179.99847338341,2419.64926805013,2179.99847338341,0,753.11598117112,-753.11598117112
0.4233,1506.23180291903,2179.99847609218,2419.64371781225,2179.99847609218,0,753.115901459513,-753.115901459513
0.42335,1506.23164350022,2179.99847879644,2419.63816772177,2179.99847879644,0,753.11582175011,-753.11582175011
0.4234,1506.23148408582,2179.99848149619,2419.63261777869,2179.99848149619,0,753.115742042911,-753.115742042911
0.42345,1506.23132467583,2179.99848419145,2419.62706798301,2179.99848419145,0,753.115662337915,-753.115662337915
0.4235,1506.23116527024,2179.99848688222,2419.62151833471,2179.99848688222,0,753.115582635122,-753.115582635122
