t_s,vdc_v,idc_a,i_gen_a,i_load_a,i_fault_a,v_pos_gnd_v,v_neg_gnd_v
0.8275,1497.49118068713,2413.32906544261,2348.47043254654,2413.32906544261,0,748.745590343565,-748.745590343565
0.82755,1497.49125391412,2413.32907249432,2348.47299322513,2413.32907249432,0,748.745626957059,-748.745626957059
0.8276,1497.49132713958,2413.3290795343,2348.47555383441,2413.3290795343,0,748.745663569789,-748.745663569789
0.82765,1497.49140036351,2413.32908656255,2348.47811437438,2413.32908656255,0,748.745700181754,-748.745700181754
0.8277,1497.49147358591,2413.3290935791,2348.48067484504,2413.3290935791,0,748.745736792953,-748.745736792953
0.82775,1497.49154680677,2413.32910058396,2348.4832352464,2413.32910058396,0,748.745773403386,-748.745773403386
0.8278,1497.49162002611,2413.32910757716,2348.48579557846,2413.32910757716,0,748.745810013053,-748.745810013053
0.82785,1497.49169324391,2413.32911455871,2348.48835584123,2413.32911455871,0,748.745846621954,-748.745846621954
0.8279,1497.49176646018,2413.32912152863,2348.49091603471,2413.32912152863,0,748.745883230088,-748.745883230088
0.82795,1497.49183967491,2413.32912848695,2348.4934761589,2413.32912848695,0,748.745919837454,-748.745919837454
0.828,1497.49191288811,2413.32913543368,2348.4960362138,2413.32913543368,0,748.745956444053,-748.745956444053
0.82805,1497.49198609977,2413.32914236885,2348.49859619943,2413.32914236885,0,748.745993049885,-748.745993049885
0.8281,1497.4920593099,2413.32914929246,2348.50115611578,2413.32914929246,0,748.746029654948,-748.746029654948
0.82815,1497.49213251849,2413.32915620455,2348.50371596286,2413.32915620455,0,748.746066259243,-748.746066259243
0.8282,1497.49220572554,2413.32916310512,2348.50627574067,2413.32916310512,0,748.746102862769,-748.746102862769
0.82825,1497.49227893105,2413.3291699942,2348.50883544922,2413.3291699942,0,748.746139465525,-748.746139465525
0.8283,1497.49235213503,2413.32917687181,2348.5113950885,2413.32917687181,0,748.746176067513,-748.746176067513
0.82835,1497.49242533746,2413.32918373797,2348.51395465853,2413.32918373797,0,748.746212668731,-748.746212668731
0.8284,1497.49249853836,2413.32919059269,2348.5165141593,2413.32919059269,0,748.746249269178,-748.746249269178
0.82845,1497.49257173771,2413.329197436,2348.51907359083,2413.329197436,0,748.746285868856,-748.746285868856
0.8285,1497.49264493552,2413.32920426791,2348.5216329531,2413.32920426791,0,748.746322467762,-748.746322467762
0.82855,1497.4927181318,2413.32921108845,2348.52419224613,2413.32921108845,0,748.746359065898,-748.746359065898
0.8286,1497.49279132652,2413.32921789762,2348.52675146993,2413.32921789762,0,748.746395663262,-748.746395663262
0.82865,1497.49286451971,2413.32922469546,2348.52931062448,2413.32922469546,0,748.746432259854,-748.746432259854
0.8287,1497.49293771135,2413.32923148198,2348.53186970981,2413.32923148198,0,748.746468855675,-748.746468855675
0.82875,1497.49301090145,2413.32923825719,2348.53442872591,2413.32923825719,0,748.746505450723,-748.746505450723
0.8288,1497.49308409,2413.32924502113,2348.53698767278,2413.32924502113,0,748.746542044999,-748.746542044999
0.82885,1497.493157277,2413.3292517738,2348.53954655043,2413.3292517738,0,748.746578638502,-748.746578638502
0.8289,1497.49323046246,2413.32925851522,2348.54210535886,2413.32925851522,0,748.746615231231,-748.746615231231
0.82895,1497.49330364637,2413.32926524542,2348.54466409808,2413.32926524542,0,748.746651823187,-748.746651823187
0.829,1497.49337682874,2413.32927196441,2348.54722276809,2413.32927196441,0,748.746688414369,-748.746688414369
0.82905,1497.49345000955,2413.32927867221,2348.54978136889,2413.32927867221,0,748.746725004777,-748.746725004777
0.8291,1497.49352318882,2413.32928536884,2348.55233990049,2413.32928536884,0,748.746761594411,-748.746761594411
0.82915,1497.49359636654,2413.32929205432,2348.55489836289,2413.32929205432,0,748.746798183269,-748.746798183269
0.8292,1497.49366954271,2413.32929872866,2348.55745675609,2413.32929872866,0,748.746834771353,-748.746834771353
0.82925,1497.49374271732,2413.3293053919,2348.5600150801,2413.3293053919,0,748.746871358661,-748.746871358661
0.8293,1497.49381589039,2413.32931204403,2348.56257333492,2413.32931204403,0,748.746907945193,-748.746907945193
0.82935,1497.4938890619,2413.32931868509,2348.56513152055,2413.32931868509,0,748.74694453095,-748.74694453095
0.8294,1497.49396223186,2413.32932531509,2348.56768963701,2413.32932531509,0,748.746981115929,-748.746981115929
0.82945,1497.49403540027,2413.32933193404,2348.57024768429,2413.32933193404,0,748.747017700133,-748.747017700133
0.8295,1497.49410856712,2413.32933854198,2348.57280566239,2413.32933854198,0,748.747054283559,-748.747054283559
0.82955,1497.49418173242,2413.32934513891,2348.57536357132,2413.32934513891,0,748.747090866208,-748.747090866208
0.8296,1497.49425489616,2413.32935172486,2348.57792141108,2413.32935172486,0,748.747127448079,-748.747127448079
0.82965,1497.49432805835,2413.32935829983,2348.58047918168,2413.32935829983,0,748.747164029173,-748.747164029173
0.8297,1497.49440121898,2413.32936486386,2348.58303688312,2413.32936486386,0,748.747200609488,-748.747200609488
0.82975,1497.49447437805,2413.32937141696,2348.5855945154,2413.32937141696,0,748.747237189025,-748.747237189025
0.8298,1497.49454753557,2413.32937795915,2348.58815207853,2413.32937795915,0,748.747273767783,-748.747273767783
0.82985,1497.49462069152,2413.32938449044,2348.59070957251,2413.32938449044,0,748.747310345761,-748.747310345761
0.8299,1497.49469384592,2413.32939101085,2348.59326699735,2413.32939101085,0,748.747346922961,-748.747346922961
0.82995,1497.49476699876,2413.32939752041,2348.59582435304,2413.32939752041,0,748.74738349938,-748.74738349938
0.83,1497.49484015004,2413.32940401912,2348.59838163959,2413.32940401912,0,748.74742007502,-748.74742007502
0.83005,1497.49491329976,2413.32941050702,2348.60093885701,2413.32941050702,0,748.747456649879,-748.747456649879
0.8301,1497.49498644792,2413.3294169841,2348.60349600529,2413.3294169841,0,748.747493223958,-748.747493223958
0.83015,1497.49505959451,2413.32942345041,2348.60605308445,2413.32942345041,0,748.747529797255,-748.747529797255
0.8302,1497.49513273954,2413.32942990594,2348.60861009448,2413.32942990594,0,748.747566369772,-748.747566369772
0.83025,1497.49520588301,2413.32943635073,2348.61116703539,2413.32943635073,0,748.747602941507,-748.747602941507
0.8303,1497.49527902492,2413.32944278478,2348.61372390719,2413.32944278478,0,748.74763951246,-748.74763951246
