t_s,vdc_v,idc_a,v_pos_gnd_v,v_neg_gnd_v
0.00135,66.0037772503502,49542.6191685514,33.0018886251751,-33.0018886251751
0.0014,68.39178039953,47812.7631843676,34.195890199765,-34.195890199765
0.00145,70.7758068582906,46202.2284895641,35.3879034291453,-35.3879034291453
0.0015,73.155863248929,44699.0829548836,36.5779316244645,-36.5779316244645
0.00155,75.5319561827145,43292.9340806394,37.7659780913573,-37.7659780913573
0.0016,77.9040922599067,41974.6884295949,38.9520461299533,-38.9520461299533
0.00165,80.2722780697743,40736.35479932,40.1361390348871,-40.1361390348871
0.0017,82.6365201906123,39570.8821288372,41.3182600953062,-41.3182600953062
0.00175,84.9968251897618,38472.0251926996,42.4984125948809,-42.4984125948809
0.0018,87.3531996236269,37434.2326793894,43.6765998118135,-43.6765998118135
0.00185,89.7056500376938,36452.5534191655,44.8528250188469,-44.8528250188469
0.0019,92.0541829665485,35522.5574180402,46.0270914832742,-46.0270914832742
0.00195,94.3988049338949,34640.269040375,47.1994024669474,-47.1994024669474
0.002,96.7395224525733,33802.1102140867,48.3697612262867,-48.3697612262867
0.00205,99.0763420245787,33004.8519472871,49.5381710122894,-49.5381710122894
0.0021,101.409270141078,32245.5727711172,50.7046350705388,-50.7046350705388
0.00215,103.738313282428,31521.622981255,51.8691566412139,-51.8691566412139
0.0022,106.063477918195,30830.593755582,53.0317389590973,-53.0317389590973
0.00225,108.384770507171,30170.290389494,54.1923852535854,-54.1923852535854
0.0023,110.702197497392,29538.7090222579,55.3510987486961,-55.3510987486961
0.00235,113.015765326158,28934.0163344729,56.5078826630789,-56.5078826630789
0.0024,115.325480420046,28354.5317833473,57.6627402100232,-57.6627402100232
0.00245,117.631349194935,27798.7120132497,58.8156745974673,-58.8156745974673
0.0025,119.933378056015,27265.1371369923,59.9666890280076,-59.9666890280076
0.00255,122.231573397814,26752.4986310819,61.115786698907,-61.115786698907
0.0026,124.525941604209,26259.5886276718,62.2629708021043,-62.2629708021043
0.00265,126.816489048445,25785.2904187469,63.4082445242227,-63.4082445242227
0.0027,129.103222093158,25328.5700153978,64.5516110465789,-64.5516110465789
0.00275,131.386147090383,24888.4686279026,65.6930735451916,-65.6930735451916
0.0028,133.665270381582,24464.0959515134,66.8326351907909,-66.8326351907909
0.00285,135.940598297653,24054.6241590027,67.9702991488264,-67.9702991488264
0.0029,138.212137158953,23659.28251467,69.1060685794767,-69.1060685794767
0.00295,140.479893275314,23277.3525360772,70.2399466376572,-70.2399466376572
0.003,142.743872946061,22908.1636396096,71.3719364730304,-71.3719364730304
