case,vdc_mean,vdc_std,vdc_min,vdc_max
mode1_cruise_low,1454.96511684781,178.260805489224,5,1499.99999999999
mode2_cruise_high,1444.86422174708,176.007946734333,5,1499.99991318921
mode3_dp_normal,1457.86487166948,179.042470952157,5,1507.99900120154
mode4_dp_harsh,1451.36454670828,177.41265385266,5,1499.99991318921
fault_bus_short,1402.41524439416,281.890087202106,5,1499.99999999999
fault_pos_ground,1454.96511684781,178.260805489224,5,1499.99999999999
fault_neg_ground,1454.96511684781,178.260805489224,5,1499.99999999999
