t_s,vdc_v,idc_a,v_pos_gnd_v,v_neg_gnd_v
0.0053,1498.17667439884,353.031197814808,749.088337199418,-749.088337199418
0.00535,1498.14700744367,356.073609937419,749.073503721837,-749.073503721837
0.0054,1498.11719113533,359.110955596385,749.058595567666,-749.058595567666
0.00545,1498.08722755385,362.143243228779,749.043613776924,-749.043613776924
0.0055,1498.05711877044,365.170481257624,749.028559385221,-749.028559385221
0.00555,1498.02686684752,368.192678091916,749.013433423759,-749.013433423759
0.0056,1497.99647383868,371.20984212665,748.998236919338,-748.998236919338
0.00565,1497.96594178871,374.221981742837,748.982970894355,-748.982970894355
0.0057,1497.93527273363,377.229105307535,748.967636366815,-748.967636366815
0.00575,1497.90446870066,380.231221173866,748.952234350329,-748.952234350329
0.0058,1497.87353170825,383.228337681043,748.936765854123,-748.936765854123
0.00585,1497.84246376607,386.220463154392,748.921231883036,-748.921231883036
0.0059,1497.81126687507,389.207605905373,748.905633437534,-748.905633437534
0.00595,1497.7799430274,392.189774231609,748.889971513702,-748.889971513702
0.006,1497.74849420652,395.166976416901,748.874247103261,-748.874247103261
0.00605,1497.71692238712,398.139220731258,748.858461193561,-748.858461193561
0.0061,1497.68522953519,401.106515430916,748.842614767594,-748.842614767594
0.00615,1497.65341760799,404.068868758361,748.826708803993,-748.826708803993
0.0062,1497.62148855408,407.026288942356,748.810744277042,-748.810744277042
0.00625,1497.58944431335,409.978784197958,748.794722156673,-748.794722156673
0.0063,1497.55728681696,412.926362726544,748.778643408479,-748.778643408479
0.00635,1497.52501798743,415.869032715835,748.762508993714,-748.762508993714
0.0064,1497.49263973859,418.806802339915,748.746319869297,-748.746319869297
0.00645,1497.46015397564,421.739679759259,748.730076987819,-748.730076987819
0.0065,1497.4275625951,424.667673120749,748.71378129755,-748.71378129755
0.00655,1497.39486748488,427.590790557703,748.697433742438,-748.697433742438
0.0066,1497.36207052424,430.509040189892,748.68103526212,-748.68103526212
0.00665,1497.32917358384,433.422430123569,748.664586791922,-748.664586791922
0.0067,1497.29617852574,436.330968451483,748.648089262869,-748.648089262869
0.00675,1497.26308720337,439.234663252911,748.631543601685,-748.631543601685
0.0068,1497.22990146161,442.133522593673,748.614950730804,-748.614950730804
0.00685,1497.19662313674,445.027554526158,748.59831156837,-748.59831156837
0.0069,1497.16325405649,447.916767089346,748.581627028244,-748.581627028244
0.00695,1497.12979604003,450.801168308829,748.564898020013,-748.564898020013
0.007,1497.09625089798,453.680766196833,748.548125448988,-748.548125448988
0.00705,1497.06262043243,456.555568752246,748.531310216217,-748.531310216217
0.0071,1497.02890643697,459.425583960629,748.514453218486,-748.514453218486
0.00715,1496.99511069665,462.290819794251,748.497555348324,-748.497555348324
0.0072,1496.96123498803,465.151284212101,748.480617494014,-748.480617494014
0.00725,1496.92728107918,468.006985159916,748.463640539591,-748.463640539591
0.0073,1496.89325072971,470.857930570199,748.446625364855,-748.446625364855
0.00735,1496.85914569074,473.704128362247,748.429572845371,-748.429572845371
0.0074,1496.82496770496,476.545586442165,748.412483852479,-748.412483852479
0.00745,1496.79071850659,479.382312702894,748.395359253296,-748.395359253296
0.0075,1496.75639982145,482.214315024232,748.378199910725,-748.378199910725
